"abundance","exp_mass","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_mass2","C13_abund2","S34_mass","S34_abund","tag"
1.4,249.080401758274,"C10H18O5S","O5S","CHOS",10,18,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250.087678210434,249.08021796354,0.73492119049392,0.73,249,248.80227635649,0.197723643510074,2,0.5,1.8,-3,19.2374995704385,16,0.8,22,0.8,0,0,0,0,0,0,"Unambiguous"
22,271.173862389094,"C15H28O2S","O2S","CHOS",15,28,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,272.181138841254,271.17372441564,0.506917764561076,0.51,271,270.871067231796,0.128932768203981,2,0.133333333333333,1.86666666666667,0,20.9370000667538,18,0.9,32,0.9,0,0,0,0,0,0,"Unambiguous"
5.2,245.08517210612,"C11H18O4S","O4S","CHOS",11,18,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,246.09244855828,245.08530334124,-0.533275689761607,0.53,245,244.811507813457,0.188492186543186,3,0.363636363636364,1.63636363636364,-1,18.9301984456462,16,0.8,24,0.8,0,0,0,0,0,0,"Unambiguous"
6.4,245.012501930554,"C9H10O6S","O6S","CHOS",9,10,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,246.019778382714,245.01253233064,-0.123567648876883,0.12,245,244.738918782059,0.261081217941268,5,0.666666666666667,1.11111111111111,-1,18.9246006756,16,0.8,20,0.5,0,0,0,0,0,0,"Unambiguous"
2.5,241.002192241968,"C6H10O8S","O8S","CHOS",6,10,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,242.009468694128,241.00236157524,-0.699696888234702,0.7,241,240.733087041097,0.266912958903106,2,1.33333333333333,1.66666666666667,-6,18.6161260021077,15,0.8,14,0.7,0,0,0,0,0,0,"Unambiguous"
3.1,237.080072766442,"C9H18O5S","O5S","CHOS",9,18,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,238.087349218602,237.08021796354,-0.609848019030111,0.61,237,236.815347039216,0.184652960784263,1,0.555555555555556,2,-4,18.3144226473615,15,0.8,20,0.9,0,0,0,0,0,0,"Unambiguous"
1.8,235.100907984938,"C10H20O4S","O4S","CHOS",10,20,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,236.108184437098,235.10095340504,-0.192369873856474,0.19,235,234.838392210788,0.161607789211587,1,0.4,2,-3,18.1621715274769,15,0.8,22,0.9,0,0,0,0,0,0,"Unambiguous"
2.7,230.996728069569,"C8H8O6S","O6S","CHOS",8,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,232.004004521729,230.99688226684,-0.664631937854188,0.66,231,230.738795059377,0.26120494062252,5,0.75,1,-1,17.8464737476154,15,0.8,18,0.4,0,0,0,0,0,0,"Unambiguous"
2.7,225.007293599576,"C6H10O7S","O7S","CHOS",6,10,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,226.014570051736,225.00744695294,-0.678510966747846,0.68,225,224.75604844542,0.243951554579525,2,1.16666666666667,1.66666666666667,-5,17.3857479542385,14,0.8,14,0.7,0,0,0,0,0,0,"Unambiguous"
5.6,223.02821881829,"C7H12O6S","O6S","CHOS",7,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,224.03549527045,223.02818239444,0.162580708819375,0.16,223,222.779183516716,0.220816483284466,2,0.857142857142857,1.71428571428571,-4,17.2334968343538,14,0.8,16,0.8,0,0,0,0,0,0,"Unambiguous"
